时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2008-05-16,五	15.95		16.95		15.03		16.00		+50.80%		18.14%		37,956,850	621,889,500	175.7		21109		
2008-05-19,一	15.36		15.42		14.35		14.35		-10.31%		6.72%		14,442,834	218,521,220	66.86		7495		
2008-05-20,二	13.99		14.75		13.46		14.00		-2.44%		9.03%		9,827,686	143,544,760	45.50		6935		
2008-05-21,三	13.71		14.93		13.58		14.77		+5.50%		9.61%		9,922,500	148,784,980	45.94		5632		
2008-05-22,四	14.34		14.59		13.98		14.34		-2.91%		4.13%		6,841,580	101,786,478	31.67		3395		
2008-05-23,五	13.98		14.59		13.89		14.28		-0.42%		4.85%		3,791,402	56,206,253	17.55		2316		
2008-05-26,一	13.95		13.95		12.80		13.15		-7.91%		8.09%		5,461,376	75,060,081	25.28		2875		
2008-05-27,二	12.98		13.43		12.35		12.47		-5.17%		8.17%		2,995,518	39,861,757	13.87		1744		
2008-05-28,三	12.48		12.95		12.21		12.70		+1.84%		5.98%		2,042,720	26,932,350	9.46		1581		
2008-05-29,四	12.60		12.84		12.30		12.40		-2.36%		4.21%		1,650,162	21,537,225	7.64		1414		
2008-05-30,五	12.35		12.75		12.30		12.59		+1.53%		3.63%		1,761,844	23,003,795	8.16		1350		
2008-06-02,一	12.58		12.68		12.00		12.09		-3.97%		5.36%		2,429,840	30,925,746	11.25		1932		
2008-06-03,二	11.95		12.23		11.79		12.04		-0.41%		3.60%		2,753,202	34,517,951	12.75		1829		
2008-06-04,三	11.91		12.02		11.50		11.73		-2.57%		4.28%		2,217,188	27,243,121	10.26		1521		
2008-06-05,四	11.60		11.63		11.23		11.37		-3.07%		3.41%		1,936,474	23,050,884	8.97		1449		
2008-06-06,五	11.37		11.75		11.29		11.42		+0.44%		4.00%		1,410,406	17,043,985	6.53		1245		
2008-06-10,二	10.93		11.09		10.23		10.46		-8.41%		7.57%		2,904,644	31,917,969	13.45		1721		
2008-06-11,三	10.30		10.65		10.13		10.45		-0.10%		4.97%		1,949,530	21,388,961	9.03		1102		
2008-06-12,四	10.15		10.66		10.15		10.59		+1.34%		4.88%		2,317,334	25,459,433	10.73		1241		
2008-06-13,五	10.46		10.65		9.60		9.73		-8.12%		9.92%		1,963,162	20,978,114	9.09		1039		
2008-06-16,一	9.95		9.95		9.23		9.36		-3.80%		7.35%		2,236,164	22,453,653	10.35		975		
2008-06-17,二	9.37		9.68		9.08		9.34		-0.21%		6.46%		1,776,288	17,755,167	8.22		1000		
2008-06-18,三	9.33		9.91		9.25		9.89		+5.89%		7.07%		2,142,818	21,811,903	9.92		1476		
2008-06-19,四	9.64		9.64		8.84		8.86		-10.41%		8.09%		3,385,996	32,653,546	15.68		1954		
2008-06-20,五	8.68		9.35		8.08		8.98		+1.35%		14.34%		2,627,084	24,627,014	12.16		1404		
2008-06-23,一	8.70		8.90		8.42		8.80		-2.00%		5.40%		2,382,200	21,810,147	11.03		891		
