时间	开盘	最高	最低	收盘	总手	金额	换手%	avg5	avg10	avg20	avg30	avg60
20080812,二	6.44	6.56	6.29	6.47	1500776	10493078	6.95	7.17	7.96	8.69	9.18	10.21
20080813,三	6.47	6.84	6.36	6.73	2467882	17739399	11.43	6.89	7.74	8.53	9.1	10.08
20080814,四	6.55	6.72	6.5	6.52	1914338	13680954	8.86	6.65	7.48	8.41	9.01	9.96
20080815,五	6.47	7.15	6.16	6.94	3933484	28426579	18.21	6.62	7.3	8.32	8.9	9.83
20080818,一	6.61	7.65	6.5	7.39	15160998	116025152	56.15	6.81	7.17	8.23	8.8	9.71
20080819,二	7.05	8.15	6.88	8.14	15640780	129714243	57.93	7.14	7.16	8.16	8.71	9.61
20080820,三	8.1	8.87	7.91	8.48	13887112	124800671	51.43	7.49	7.19	8.12	8.64	9.53
20080821,四	8.2	8.39	7.71	7.95	10307556	88647652	38.18	7.78	7.22	8.03	8.55	9.45
20080822,五	7.95	8.45	7.63	7.98	8652748	75312247	32.05	7.99	7.3	7.94	8.47	9.38
20080825,一	7.86	8.28	7.54	7.67	5510036	46623464	20.41	8.04	7.43	7.85	8.39	9.3
20080826,二	7.45	7.6	6.85	6.96	9241958	70679219	34.23	7.81	7.48	7.72	8.28	9.2
20080827,三	6.9	7.43	6.86	7.19	7519270	57997562	27.85	7.55	7.52	7.63	8.2	9.12
20080828,四	7.08	7.29	6.73	6.89	5341524	40131545	19.78	7.34	7.56	7.52	8.13	9.04
20080829,五	6.88	7.39	6.76	7.34	6834684	52351207	25.31	7.21	7.6	7.45	8.08	8.96
20080901,一	7.21	7.65	7.16	7.55	8059478	64438924	29.85	7.19	7.62	7.39	8.02	8.9
20080902,二	7.45	7.55	7.18	7.22	4689110	36983319	17.37	7.24	7.52	7.34	7.95	8.83
20080903,三	7.25	7.27	6.48	6.58	5871780	42862728	21.75	7.12	7.33	7.26	7.86	8.76
20080904,四	6.51	6.8	6.5	6.66	3219266	23194645	11.92	7.07	7.2	7.21	7.75	8.7
20080905,五	6.4	6.47	6.17	6.18	4138244	28252848	15.33	6.84	7.02	7.16	7.64	8.63
20080908,一	6.1	6.24	5.51	5.53	4151916	26021454	15.38	6.43	6.81	7.12	7.5	8.56
20080909,二	5.54	5.7	5.46	5.63	1944050	11929435	7.2	6.12	6.68	7.08	7.37	8.49
20080910,三	5.54	5.92	5.52	5.75	3549630	22581732	13.15	5.95	6.53	7.03	7.26	8.44
20080911,四	5.65	5.83	5.51	5.52	2384770	14641631	8.83	5.72	6.4	6.98	7.15	8.36
20080912,五	5.51	5.79	5.5	5.65	2287332	14212836	8.47	5.62	6.23	6.91	7.04	8.31
20080916,二	5.7	6.0	5.55	5.86	4363598	27773232	16.16	5.68	6.06	6.84	6.95	8.26
20080917,三	5.81	6.05	5.78	5.82	3530734	22791542	13.08	5.72	5.92	6.72	6.87	8.21
20080918,四	5.64	5.75	5.18	5.5	5006820	29700987	18.54	5.67	5.81	6.57	6.78	8.15
20080919,五	6.0	6.1	5.9	6.1	4405502	29069267	16.32	5.79	5.75	6.48	6.73	8.09
20080922,一	6.55	6.74	6.04	6.32	8627104	59976811	31.95	5.92	5.77	6.4	6.7	8.03
20080923,二	5.95	6.05	5.82	5.82	4485492	28904395	16.61	5.91	5.8	6.3	6.68	7.98
20080924,三	5.6	5.93	5.54	5.93	1782470	11305281	6.6	5.93	5.83	6.25	6.66	7.92
